name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Noir,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86974-smartphone-xiaomi-redmi-a5-3-go-64-go-noir.html,Tunisianet
SMARTPHONE HONOR PLAY10 3Go / 64Go / 4G / PURPLE,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88667-smartphone-honor-play10-3go-64go-4g-purple.html,Tunisianet
SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / CYAN,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88666-smartphone-honor-play10-3go-64go-4g-cyan.html,Tunisianet
Smartphone Itel S18 / 4 Go / 64 GO / Noir,Itel mobile,64.0,64.0,5000.0,6.0,8.0,8.0,4G,Android 11,Octa Core,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/62360-smartphone-itel-s18-4-go-64-go-noir.html,Tunisianet
SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / BLACK,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88665-smartphone-honor-play10-3go-64go-4g-black.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Noir,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87270-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Bleu,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87283-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet
Smartphone Itel S23 / 4 Go / 128 GO / Blanc,Itel mobile,4.0,4.0,5000.0,6.0,50.0,8.0,4G,Android 11,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/64983-smartphone-itel-s23-4-go-128-go-blanc.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Silver,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87284-smartphone-infinix-smart-10-4g-4-go-128-go-silver.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Gold,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87285-smartphone-infinix-smart-10-4g-4-go-128-go-gold.html,Tunisianet
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Silver,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79415-smartphone-infinix-smart-9-4g-4-go-128-go-silver.html,Tunisianet
