model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-CYAN - Cyan,Honor,HONOR-PLAY10-CYAN,299.000,,3,64,5000,6.74,,,,Android 15,Octa Core,Cyan,,Oui,"Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-CYAN - Cyan [HONOR-PLAY10-CYAN] Écran 6.74"" LCD TFT (720 x 1600), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: Android 15 (édition Go) - Mémoire RAM: 3Go ... 299,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-play-10-3go-64go-honor-play10-cyan-cyan.html
Smartphone VIVO Y03 8Go 64Go - Noir,Vivo,VIVO-Y03-4/64-BK,349.000,319.000,4,64,5000,6.56,,,,Android 14,Octa Core,Noir,,En arrivage,"Smartphone VIVO Y03 8Go 64Go - Noir [VIVO-Y03-4/64-BK] Écran 6.56"" LCD IPS  (720 x 1612pixels), 90Hz - Processeur: Mediatek Hélio G85 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go(Extensible jusqu'à 8Go) - Stockage: 64Go - Appareils Photos ... 319,000 DT 349,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-vivo-y03-4go-64go-noir.html
Smartphone HONOR X5b 4Go 64Go - Noir,Honor,HONOR-X5B-4/64-BK,359.000,319.000,4,64,5200,6.56,,,,Android 14,Octa Core,Noir,,En arrivage,"Smartphone HONOR X5b 4Go 64Go - Noir [HONOR-X5B-4/64-BK] Écran 6.56"" TFT LCD (720 x 1612px), 90hz - Processeur: MediaTek Helio G36 Octa-core - Fréquence Processeur: 4x Cortex-A53 jusqu'à 2,2 GHz + 4x Cortex-A53 jusqu'à 1,6 GHz - Système d'exploitation: Android 14, magicOS 8.0 ... 319,000 DT 359,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-honor-x5b-4go-64go-noir.html
Smartphone HONOR X5b 4Go 64Go - Bleu,Honor,HONOR-X5B-4/64-BL,359.000,319.000,4,64,5200,6.56,,,,Android 14,Octa Core,Bleu,,En arrivage,"Smartphone HONOR X5b 4Go 64Go - Bleu [HONOR-X5B-4/64-BL] Écran 6.56"" TFT LCD (720 x 1612px), 90hz - Processeur: MediaTek Helio G36 Octa-core - Fréquence Processeur: 4x Cortex-A53 jusqu'à 2,2 GHz + 4x Cortex-A53 jusqu'à 1,6 GHz - Système d'exploitation: Android 14, magicOS 8.0 ... 319,000 DT 359,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-honor-x5b-4go-64go-bleu.html
Smartphone INFINIX Smart 10 4Go 128Go - SEELK BLACK,Infinix,X6725-SMART10-4/128-SBLACK,319.000,,4,128,5000,6.7,8,,,Android 15,Octa Core,SEELK BLACK,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - SEELK BLACK [X6725-SMART10-4/128-SBLACK] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-seelk-black.html
Smartphone INFINIX Smart 10 4Go 128Go - Titanium Silver,Infinix,X6725-SMART10-4/128-TSILVER,319.000,,4,128,5000,6.7,8,,,Android 15,Octa Core,Titanium Silver,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - Titanium Silver [X6725-SMART10-4/128-TSILVER] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-titanium-silver.html
Smartphone INFINIX Smart 10 4Go 128Go - Iris Blue,Infinix,X6725-SMART10-4/128-IBLUE,319.000,,4,128,5000,6.7,8,,,Android 15,Octa Core,Iris Blue,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - Iris Blue [X6725-SMART10-4/128-IBLUE] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-iris-blue.html
Smartphone OSCAL Flat 2 12Go 128Go - Noir,,OSCAL-FLAT2-4/128-BK,329.000,,4,128,5000,6.56,,,,Android 14,Octa Core,Noir,,Oui,"Smartphone OSCAL Flat 2 L'élégance au bout des doigts Offrez-vous un design qui se remarque dès le premier regard avec l’OSCAL FLAT 2 . Son profil ultra-fin de 8,75 mm , sa finition résistante aux traces et son dos texturé effet sable apportent une touche de sophistication moderne, tout en offrant une prise en main agréable et naturelle. Avec seulement 192 g , ce smartphone ultra-léger combine finesse, confort et élégance pour sublimer votre quotidien. Enceinte Smart-K Que chaque note, chaque rythme, chaque instant prenne vie . De l’adrénaline d’un match haletant aux basses profondes d’un film d’action, en passant par la richesse de chaque mélodie, l’enceinte Smart-K du FLAT 2 sublime chaque moment. Elle transforme vos divertissements en expériences immersives, puissantes et vibrantes . Mémoire maximale, performances maximales Profitez d’une fluidité remarquable tout au long de la journée avec le FLAT 2 . Grâce à ses 4 Go de RAM combinés à une extension mémoire gratuite de 8 Go, votre ",https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-noir.html
Smartphone OSCAL Flat 2 12Go 128Go - Bleu,,OSCAL-FLAT2-4/128-BL,329.000,,4,128,5000,6.56,,,,Android 14,Octa Core,Bleu,,Oui,"Smartphone OSCAL Flat 2 L'élégance au bout des doigts Offrez-vous un design qui se remarque dès le premier regard avec l’OSCAL FLAT 2 . Son profil ultra-fin de 8,75 mm , sa finition résistante aux traces et son dos texturé effet sable apportent une touche de sophistication moderne, tout en offrant une prise en main agréable et naturelle. Avec seulement 192 g , ce smartphone ultra-léger combine finesse, confort et élégance pour sublimer votre quotidien. Enceinte Smart-K Que chaque note, chaque rythme, chaque instant prenne vie . De l’adrénaline d’un match haletant aux basses profondes d’un film d’action, en passant par la richesse de chaque mélodie, l’enceinte Smart-K du FLAT 2 sublime chaque moment. Elle transforme vos divertissements en expériences immersives, puissantes et vibrantes . Mémoire maximale, performances maximales Profitez d’une fluidité remarquable tout au long de la journée avec le FLAT 2 . Grâce à ses 4 Go de RAM combinés à une extension mémoire gratuite de 8 Go, votre ",https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-bleu.html
Smartphone VIVO Y04 8Go 64Go - Or Titane,Vivo,VIVO-Y04-4/64-TGOLD,339.000,,4,64,5500,6.74,,,,Android 14,Octa Core,Or Titane,,Oui,"Smartphone VIVO Y04 8Go 64Go - Or Titane [VIVO-Y04-4/64-TGOLD] Écran 6.74"" IPS LCD (1600 x 720), 90Hz - Processeur: Unisoc T7225 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go (Extensible jusqu'à 8Go) - Stockage: 64Go - Appareil Photo Arrière: Dual ... 339,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y04-4go-64go-or-titane.html
