name,brand,price_tnd,original_price_tnd,discount_percent,ram_gb,storage_gb,color,network,availability,product_url,image_url,category,source,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,os,processor_type
SAMSUNG GALAXY A07 4GB 64GB Green,Samsung,369.0,,,4.0,64.0,Green,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a06-4gb-64gb-green/,,smartphone,BestPhone.tn,5000.0,,50.0,8.0,Android 15,Octa Core
Samsung Galaxy A17 6GB 128GB Bleu,Samsung,599.0,,,6.0,128.0,Bleu,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a17-5g-6gb-128gb-bleu/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,13.0,Android 15,
Samsung Galaxy A17 6GB 128GB Noir,Samsung,599.0,,,6.0,128.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a17-5g-6gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,13.0,Android 15,
Samsung Galaxy A17 6GB 128GB Silver,Samsung,599.0,,,6.0,128.0,Silver,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a17-5g-6gb-128gb-silver/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,13.0,Android 15,
Smartphone Infinix Hot 50 8GB 256GB,Infinix,549.0,,,8.0,256.0,,4G,Out of Stock,https://bestphone.tn/product/smartphone-infinix-hot-50-8gb-256gb/,,smartphone,BestPhone.tn,5000.0,,50.0,,Android 14,Octa Core
Smartphone INFINIX Hot 50i 6GB 128GB,Infinix,399.0,,,6.0,128.0,,4G,Out of Stock,https://bestphone.tn/product/smartphone-infinix-hot-50i-6gb-128gb/,,smartphone,BestPhone.tn,5000.0,6.7,,,Android 14,Octa Core
Smartphone infinix Smart 9 4GB 128GB,Infinix,349.0,,,4.0,128.0,,4G,In Stock,https://bestphone.tn/product/smartphone-infinix-smart-9-4gb-128gb/,,smartphone,BestPhone.tn,5000.0,,13.0,8.0,Android 14,Octa Core
Smartphone Oppo A5 Pro 8GB 256GB,Oppo,799.0,,,8.0,256.0,,4G,In Stock,https://bestphone.tn/product/smartphone-oppo-a5-pro-8gb-256gb/,,smartphone,BestPhone.tn,5800.0,,50.0,8.0,Android 15,Snapdragon
iPhone 17 Pro Max 512GB – Dark Blue,Apple,5.5,5.8,5.2,,512.0,Blue,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-512gb-dark-blue/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro Max 512GB – Gray,Apple,5.5,5.8,5.2,,512.0,Gray,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-512gb-gray/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro Max 512GB – Orange,Apple,5.5,5.8,5.2,,512.0,Or,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-512gb-orange/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro Max 256GB – Dark Blue Avec SIM,Apple,4.6,6.0,23.3,,256.0,Blue,,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-dark-blue/,,iphone,BestPhone.tn,,,,,,
iPhone 17 Pro Max 256GB – Gray Avec SIM,Apple,4.6,6.0,23.3,,256.0,Gray,,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-gray/,,iphone,BestPhone.tn,,,,,,
iPhone 17 Pro Max 256GB – Orange Avec SIM,Apple,4.6,6.0,23.3,,256.0,Or,,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-orange/,,iphone,BestPhone.tn,,,,,,
iPhone 17 Pro Max 256GB – Gray eSIM,Apple,4.5,5.2,13.5,,256.0,Gray,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-gray-esim/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro Max 256GB – Dark Blue eSIM,Apple,4.3,5.2,17.3,,256.0,Blue,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-dark-blue-esim/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
